epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,230.898,0.88306,1.6694,0.76212,1.05254,0.98743,0.85714,0.96345,0.67473,0.98743,0.85714,0.96345,0.639,1.07245,1.74274,0.64369,1.14762,0.0011618,0.0011618,0.0011618
129,232.436,0.89329,1.61083,0.70707,1.03205,0.98586,0.85714,0.95448,0.71268,0.98586,0.85714,0.95448,0.64751,0.98005,1.7429,0.65971,1.12432,0.0011552,0.0011552,0.0011552
130,233.922,0.83201,1.57314,0.67424,1.01502,0.95237,0.85714,0.93717,0.71262,0.95237,0.85714,0.93717,0.63406,0.95818,1.73971,0.68875,1.12222,0.0011486,0.0011486,0.0011486
131,235.382,0.73282,1.47179,0.68332,1.00773,0.98487,0.85714,0.90815,0.65085,0.98487,0.85714,0.9237,0.59948,1.03094,1.84934,0.80653,1.15822,0.001142,0.001142,0.001142
132,236.807,0.82331,1.54409,0.71865,1.01229,1,0.83962,0.9042,0.68263,0.91651,0.92857,0.93782,0.5931,1.04172,1.78976,0.78609,1.18404,0.0011354,0.0011354,0.0011354
133,238.221,0.81289,1.50178,0.69274,0.98946,0.98059,0.78571,0.88099,0.63669,0.92041,0.92857,0.93531,0.57159,1.0965,1.85321,0.77351,1.24956,0.0011288,0.0011288,0.0011288
134,239.805,0.85424,1.60784,0.73132,1.02483,0.97851,0.78571,0.87439,0.62441,0.92085,0.92857,0.93342,0.57659,1.14736,1.76986,0.81543,1.31072,0.0011222,0.0011222,0.0011222
135,241.384,0.8622,1.63931,0.72512,1.02869,0.98169,0.78571,0.87007,0.62942,1,0.85458,0.93225,0.58431,1.14533,1.68855,0.86941,1.29978,0.0011156,0.0011156,0.0011156
136,242.969,0.88084,1.61679,0.74845,1.03783,0.90861,0.85714,0.86944,0.63629,0.98472,0.92857,0.93399,0.59768,1.10128,1.5809,0.87838,1.24517,0.001109,0.001109,0.001109
137,244.82,0.88863,1.56124,0.71978,1.04571,1,0.83638,0.91718,0.66421,0.92379,0.92857,0.94385,0.62002,1.05744,1.52529,0.87233,1.20185,0.0011024,0.0011024,0.0011024
138,246.74,0.82925,1.58756,0.68645,1.01168,0.90055,0.85714,0.94684,0.665,0.92345,0.92857,0.96167,0.64084,1.06198,1.52436,0.79215,1.20484,0.0010958,0.0010958,0.0010958
139,248.714,0.77257,1.43757,0.64671,0.98805,0.99103,0.85714,0.9501,0.67952,0.91396,0.92857,0.96455,0.64131,1.05788,1.63622,0.79944,1.2127,0.0010892,0.0010892,0.0010892
140,250.683,0.81838,1.54785,0.70104,1.01374,0.9862,0.85714,0.91814,0.65072,1,0.91563,0.94678,0.63665,1.0095,1.70334,0.75358,1.17472,0.0010826,0.0010826,0.0010826
141,252.631,0.80846,1.6031,0.68745,1.00179,0.99041,0.85714,0.91118,0.65409,1,0.91816,0.94161,0.64362,1.0261,1.66769,0.78359,1.17927,0.001076,0.001076,0.001076
142,254.572,0.80864,1.43367,0.70153,0.99093,0.99135,0.85714,0.91176,0.66283,0.99135,0.85714,0.93885,0.64245,1.05883,1.73421,0.78649,1.21222,0.0010694,0.0010694,0.0010694
143,256.657,0.90138,1.65398,0.76349,1.05439,0.99119,0.85714,0.8944,0.60398,1,0.92231,0.94107,0.58368,1.02131,1.83233,0.84979,1.20935,0.0010628,0.0010628,0.0010628
144,258.732,0.8025,1.6603,0.74241,1.03351,0.98498,0.85714,0.92436,0.63636,1,0.92401,0.953,0.61537,1.03055,1.89828,0.8154,1.26067,0.0010562,0.0010562,0.0010562
145,260.504,0.8038,1.46257,0.70869,1.04139,1,0.85603,0.93753,0.66075,0.92777,0.92857,0.9592,0.63392,1.03681,1.82551,0.75323,1.24247,0.0010496,0.0010496,0.0010496
146,261.929,0.79849,1.57526,0.68973,1.01915,0.97858,0.85714,0.93377,0.68632,1,0.9152,0.96761,0.63659,1.03468,1.74916,0.69141,1.22297,0.001043,0.001043,0.001043
147,263.341,0.83272,1.64598,0.72828,1.04222,0.98351,0.85714,0.94622,0.66183,0.99465,0.92857,0.98265,0.66359,1.06909,1.68095,0.70338,1.24691,0.0010364,0.0010364,0.0010364
148,264.829,0.83091,1.63526,0.72031,1.03163,0.92836,0.92579,0.96455,0.67527,1,0.99569,0.995,0.63915,1.07336,1.78615,0.70685,1.25947,0.0010298,0.0010298,0.0010298
149,266.303,0.78781,1.48881,0.67387,1.01466,0.98752,0.85714,0.96467,0.67919,0.92364,1,0.99033,0.64637,1.03761,1.82986,0.69854,1.22502,0.0010232,0.0010232,0.0010232
150,267.833,0.84785,1.51778,0.69649,1.05575,0.91588,0.85714,0.94774,0.67618,0.92834,0.92561,0.95944,0.62465,1.06883,1.83192,0.67718,1.24101,0.0010166,0.0010166,0.0010166
151,269.329,0.81202,1.5139,0.68842,0.99038,0.99201,0.85714,0.97029,0.66963,1,0.92291,0.98265,0.62563,1.08255,1.79824,0.68751,1.23403,0.00101,0.00101,0.00101
152,270.784,0.81374,1.53893,0.67759,0.99307,1,0.92303,0.97944,0.70757,1,0.92303,0.97944,0.64561,1.01622,1.8096,0.70237,1.15156,0.0010034,0.0010034,0.0010034
153,272.237,0.80735,1.57011,0.65411,0.99698,1,0.92268,0.99033,0.6908,1,0.92268,0.99033,0.65976,1.02148,1.75499,0.70514,1.14524,0.0009968,0.0009968,0.0009968
154,273.679,0.75384,1.4677,0.6563,1.00698,1,0.99465,0.995,0.69461,1,0.99465,0.995,0.64024,1.01972,1.78515,0.71959,1.10961,0.0009902,0.0009902,0.0009902
155,275.044,0.77026,1.60054,0.66409,0.98165,0.97992,0.92857,0.98625,0.70272,0.97992,0.92857,0.98625,0.62176,1.03274,1.9178,0.69838,1.0992,0.0009836,0.0009836,0.0009836
156,276.576,0.71448,1.41562,0.63082,0.98301,0.91855,0.92857,0.96944,0.70082,0.91855,0.92857,0.96944,0.60566,1.02616,1.92848,0.62834,1.09731,0.000977,0.000977,0.000977
157,278.011,0.80855,1.54294,0.66647,1.00452,0.9242,0.8717,0.97765,0.70231,0.9242,0.8717,0.97765,0.6379,0.99183,1.70036,0.67848,1.0751,0.0009704,0.0009704,0.0009704
158,279.492,0.76162,1.45888,0.65572,0.97429,0.92406,0.86993,0.969,0.70933,0.92406,0.86993,0.969,0.66746,0.96644,1.5561,0.75207,1.041,0.0009638,0.0009638,0.0009638
159,281.092,0.76159,1.36064,0.65326,0.97862,0.91749,0.85714,0.9491,0.70173,0.91749,0.85714,0.9491,0.66109,0.94352,1.53554,0.76685,1.03168,0.0009572,0.0009572,0.0009572
160,282.675,0.80146,1.46242,0.66977,0.99862,0.86597,0.92857,0.95791,0.68133,0.86597,0.92857,0.95791,0.63931,1.0144,1.62286,0.66547,1.13098,0.0009506,0.0009506,0.0009506
161,284.273,0.78244,1.45064,0.65999,0.98437,0.86631,0.92586,0.94894,0.67253,0.86623,1,0.96875,0.63427,1.06555,1.69532,0.65164,1.17065,0.000944,0.000944,0.000944
162,285.631,0.75897,1.38269,0.65228,0.99147,0.92763,1,0.981,0.68431,0.92763,1,0.981,0.63619,1.03272,1.73685,0.62394,1.12151,0.0009374,0.0009374,0.0009374
163,287.055,0.75996,1.44875,0.64052,0.98272,1,0.99143,0.995,0.7156,1,0.99143,0.995,0.66456,0.96211,1.78101,0.59118,1.05502,0.0009308,0.0009308,0.0009308
164,289.13,0.81493,1.55823,0.70457,1.02348,0.86765,1,0.97625,0.71349,0.86765,1,0.97625,0.66014,1.003,1.7675,0.68685,1.10358,0.0009242,0.0009242,0.0009242
165,291.166,0.78085,1.41278,0.6554,0.99514,0.92682,0.92857,0.96658,0.69972,0.92682,0.92857,0.96658,0.65148,1.01772,1.844,0.7364,1.16262,0.0009176,0.0009176,0.0009176
166,293.331,0.73905,1.33944,0.63628,0.96661,1,0.89391,0.96761,0.68824,1,0.89391,0.96761,0.6171,1.05165,1.8711,0.77101,1.22137,0.000911,0.000911,0.000911
167,295.478,0.73611,1.43632,0.62272,0.96237,0.88744,0.85714,0.94223,0.64038,0.92266,0.92857,0.97158,0.6275,1.07115,1.79363,0.74687,1.25975,0.0009044,0.0009044,0.0009044
168,297.565,0.78118,1.43175,0.685,1.00925,0.86386,0.90749,0.95088,0.6233,0.85308,1,0.97212,0.61059,1.1447,1.63712,0.74046,1.32132,0.0008978,0.0008978,0.0008978
169,299.35,0.78097,1.39096,0.64454,1.00605,0.87394,0.99094,0.9775,0.64294,0.87394,0.99094,0.9775,0.6243,1.11983,1.52666,0.7191,1.28863,0.0008912,0.0008912,0.0008912
170,300.622,0.74548,1.42578,0.62523,0.99768,0.81446,1,0.95231,0.65348,0.81446,1,0.95716,0.62401,1.09798,1.47829,0.69493,1.24481,0.0008846,0.0008846,0.0008846
171,302.037,0.73312,1.4074,0.65355,0.99505,0.92815,0.92311,0.969,0.69559,0.86804,1,0.98125,0.66392,1.05553,1.48449,0.6573,1.19181,0.000878,0.000878,0.000878
172,303.67,0.76566,1.42142,0.66442,0.9935,0.9889,0.78571,0.92925,0.66877,0.8651,0.91685,0.96473,0.6443,1.01521,1.5775,0.69655,1.14131,0.0008714,0.0008714,0.0008714
173,304.997,0.76823,1.33326,0.66986,0.99917,0.98258,0.78571,0.94108,0.67143,0.92165,0.92857,0.98125,0.64431,1.02728,1.64865,0.66895,1.1387,0.0008648,0.0008648,0.0008648
174,306.315,0.71325,1.37151,0.62529,0.98038,1,0.85099,0.95642,0.67659,0.99045,0.92857,0.98625,0.65446,1.04291,1.66031,0.65172,1.14438,0.0008582,0.0008582,0.0008582
175,307.553,0.76042,1.38376,0.62193,0.98228,0.87493,0.99941,0.98125,0.69656,0.87493,0.99941,0.98125,0.66028,1.0224,1.71607,0.62925,1.13006,0.0008516,0.0008516,0.0008516
176,308.98,0.71977,1.30926,0.63641,0.95634,1,0.92252,0.98625,0.70578,1,0.92252,0.98625,0.64719,0.99082,1.87292,0.55063,1.14359,0.000845,0.000845,0.000845
177,310.331,0.75406,1.30542,0.60774,0.96397,0.93195,0.92857,0.98265,0.69489,0.93195,0.92857,0.98265,0.64004,1.0163,1.98324,0.51817,1.17992,0.0008384,0.0008384,0.0008384
178,311.983,0.75517,1.49682,0.62058,0.99832,0.9934,0.85714,0.97765,0.70185,0.9934,0.85714,0.97765,0.61113,1.02741,2.09539,0.53369,1.19591,0.0008318,0.0008318,0.0008318
179,313.367,0.73317,1.34144,0.63682,0.99168,0.99907,0.92857,0.98265,0.68543,0.99907,0.92857,0.98265,0.62215,1.01978,2.04639,0.55088,1.2,0.0008252,0.0008252,0.0008252
180,314.701,0.78501,1.39483,0.66196,0.99742,1,0.92313,0.95382,0.69848,1,0.92313,0.95382,0.65943,1.01057,1.80987,0.62873,1.21019,0.0008186,0.0008186,0.0008186
181,316.256,0.72141,1.32266,0.62711,0.98852,1,0.91894,0.96,0.69196,1,0.91894,0.96,0.6559,0.98443,1.7198,0.64886,1.19995,0.000812,0.000812,0.000812
182,317.636,0.73255,1.36714,0.63596,0.97686,0.91702,0.85714,0.94398,0.70072,0.99527,0.92857,0.96583,0.6753,0.94907,1.66214,0.6375,1.20219,0.0008054,0.0008054,0.0008054
183,318.905,0.72458,1.30878,0.6478,0.98898,0.98901,0.92857,0.97167,0.73355,0.98901,0.92857,0.97167,0.66834,0.9267,1.56382,0.61825,1.19333,0.0007988,0.0007988,0.0007988
184,320.482,0.72725,1.32682,0.64173,0.97591,0.92635,1,0.99033,0.75005,0.92635,1,0.99033,0.71215,0.90181,1.43565,0.54983,1.15367,0.0007922,0.0007922,0.0007922
185,321.911,0.72341,1.32104,0.61082,0.96074,0.92795,0.92052,0.9513,0.76843,1,0.99153,0.995,0.7208,0.93035,1.3948,0.51888,1.18588,0.0007856,0.0007856,0.0007856
186,323.275,0.75632,1.37149,0.61327,0.99266,0.92799,0.92097,0.9497,0.73211,1,0.99223,0.995,0.71188,0.96885,1.37261,0.55382,1.21037,0.000779,0.000779,0.000779
187,324.657,0.75296,1.40795,0.64937,0.97976,0.98994,0.85714,0.93744,0.72282,0.99441,0.92857,0.99033,0.70949,0.99432,1.39269,0.60861,1.22948,0.0007724,0.0007724,0.0007724
188,326.124,0.65616,1.30706,0.56163,0.9656,0.97938,0.85714,0.92078,0.7094,0.99588,0.92857,0.98265,0.66829,0.9595,1.5766,0.72178,1.20402,0.0007658,0.0007658,0.0007658
189,327.489,0.69541,1.21577,0.55263,0.94215,0.97538,0.85714,0.91442,0.72019,0.99582,0.92857,0.97658,0.6536,0.95545,1.72028,0.67403,1.18146,0.0007592,0.0007592,0.0007592
190,328.834,0.68201,1.31676,0.55564,0.9672,0.96967,0.85714,0.90634,0.70025,0.99414,0.92857,0.96583,0.63199,0.96596,1.78478,0.66512,1.18543,0.0007526,0.0007526,0.0007526
191,330.221,0.69878,1.35267,0.56727,0.95163,0.97701,0.85714,0.91025,0.70624,0.99544,0.92857,0.9642,0.62191,0.96696,1.93566,0.69017,1.17318,0.000746,0.000746,0.000746
192,331.585,0.7401,1.36288,0.59088,0.9779,0.98182,0.85714,0.96011,0.72178,0.9972,0.92857,0.98265,0.66607,0.95041,1.90239,0.63054,1.1765,0.0007394,0.0007394,0.0007394
193,332.92,0.76959,1.31455,0.61629,1.02642,0.9959,0.92857,0.99033,0.71605,0.9959,0.92857,0.99033,0.69823,0.95371,1.7648,0.58687,1.174,0.0007328,0.0007328,0.0007328
194,334.273,0.72269,1.36634,0.57543,0.96579,1,0.99086,0.995,0.7431,1,0.99086,0.995,0.71034,0.96387,1.73758,0.5649,1.18102,0.0007262,0.0007262,0.0007262
195,335.731,0.69365,1.29555,0.58515,0.95632,1,0.99225,0.995,0.71976,1,0.99225,0.995,0.70894,0.95902,1.71286,0.54653,1.17936,0.0007196,0.0007196,0.0007196
196,337.165,0.73732,1.2838,0.58937,0.99468,1,0.99137,0.995,0.71605,1,0.99137,0.995,0.70286,0.94199,1.54375,0.51085,1.16413,0.000713,0.000713,0.000713
197,338.513,0.68425,1.31616,0.57292,0.96206,1,0.99202,0.995,0.72426,1,0.99202,0.995,0.68399,0.93716,1.46172,0.49193,1.16719,0.0007064,0.0007064,0.0007064
198,339.936,0.69489,1.27359,0.56492,0.96889,0.99085,1,0.995,0.72354,0.99085,1,0.995,0.68165,0.95718,1.41958,0.50593,1.17992,0.0006998,0.0006998,0.0006998
199,341.356,0.76059,1.4184,0.60176,0.98352,0.92445,1,0.99033,0.72043,0.92445,1,0.99033,0.68035,1.00405,1.4513,0.57424,1.20307,0.0006932,0.0006932,0.0006932
200,342.761,0.70328,1.2787,0.57334,0.97204,0.8736,0.98804,0.97125,0.69912,0.8736,0.98804,0.97125,0.67309,1.07535,1.53413,0.67458,1.31782,0.0006866,0.0006866,0.0006866
201,344.038,0.67667,1.25413,0.60027,0.95658,0.90513,0.92857,0.959,0.68434,0.90513,0.92857,0.959,0.64701,1.0667,1.60452,0.7567,1.30618,0.00068,0.00068,0.00068
202,345.347,0.6336,1.23848,0.54335,0.93439,0.86637,0.92857,0.95261,0.70529,0.86637,0.92857,0.95261,0.63683,1.03974,1.6297,0.80276,1.26761,0.0006734,0.0006734,0.0006734
203,346.769,0.70446,1.30828,0.58216,0.96967,0.85685,0.85714,0.92226,0.65382,0.87351,0.92857,0.9345,0.62208,1.00104,1.63072,0.83462,1.20947,0.0006668,0.0006668,0.0006668
204,348.338,0.7017,1.30696,0.56884,0.96742,0.86557,0.92032,0.96233,0.69513,0.93275,0.99119,0.99033,0.65762,1.00603,1.76971,0.68948,1.19738,0.0006602,0.0006602,0.0006602
205,349.734,0.66025,1.33666,0.55511,0.94612,1,0.9087,0.97658,0.70041,0.92156,1,0.99033,0.64805,1.00316,1.85347,0.60991,1.20611,0.0006536,0.0006536,0.0006536
206,351.087,0.73495,1.38895,0.6043,0.96232,0.99268,0.92857,0.974,0.72156,0.91992,1,0.99033,0.65062,0.99898,1.87442,0.58845,1.22219,0.000647,0.000647,0.000647
207,352.589,0.67103,1.23198,0.54087,0.96485,0.99926,0.92857,0.96955,0.73168,1,0.98039,0.995,0.65309,1.00855,1.81153,0.58335,1.25222,0.0006404,0.0006404,0.0006404
208,354.082,0.63281,1.26229,0.53236,0.98272,1,0.92152,0.97167,0.73661,0.99165,1,0.995,0.68261,0.96558,1.59722,0.54896,1.2547,0.0006338,0.0006338,0.0006338
209,355.464,0.71595,1.32233,0.60965,0.98626,1,0.90938,0.974,0.73921,0.98569,1,0.995,0.69461,0.97575,1.53464,0.53107,1.24468,0.0006272,0.0006272,0.0006272
210,356.859,0.67742,1.3525,0.56577,0.95637,0.92041,0.92857,0.969,0.7382,0.99177,1,0.995,0.70138,0.98309,1.54309,0.54396,1.21735,0.0006206,0.0006206,0.0006206
211,358.755,0.69805,1.36858,0.58269,0.96244,0.9214,0.92857,0.97158,0.73711,0.99279,1,0.995,0.709,1.00914,1.54537,0.56205,1.22816,0.000614,0.000614,0.000614
212,360.72,0.68178,1.24616,0.60042,0.97096,0.92522,0.92857,0.969,0.71237,0.99726,1,0.995,0.66753,1.0122,1.58876,0.58151,1.25858,0.0006074,0.0006074,0.0006074
213,362.794,0.69593,1.3091,0.55205,0.95708,0.92836,0.92583,0.969,0.72021,1,0.9961,0.995,0.67132,1.01044,1.59527,0.55134,1.25757,0.0006008,0.0006008,0.0006008
214,364.736,0.6411,1.21183,0.54559,0.94141,0.92789,0.91974,0.96455,0.71756,1,0.99063,0.995,0.67771,0.98912,1.57895,0.57264,1.25027,0.0005942,0.0005942,0.0005942
215,366.698,0.69174,1.32519,0.56111,0.94846,0.92775,0.91783,0.94649,0.7256,1,0.989,0.995,0.67452,1.01467,1.57794,0.60733,1.2886,0.0005876,0.0005876,0.0005876
216,368.198,0.65815,1.30568,0.52089,0.94052,0.9488,0.85714,0.93243,0.68346,0.97453,0.92857,0.98265,0.67188,1.03255,1.62203,0.7285,1.29749,0.000581,0.000581,0.000581
217,369.539,0.64754,1.19433,0.52039,0.9315,0.95282,0.85714,0.94157,0.70774,0.98832,0.92857,0.98625,0.66791,1.04772,1.64789,0.69548,1.3111,0.0005744,0.0005744,0.0005744
218,370.833,0.67585,1.22906,0.56477,0.95996,0.96145,0.85714,0.93608,0.70599,0.93295,0.99428,0.99033,0.65168,1.04321,1.67864,0.64843,1.31881,0.0005678,0.0005678,0.0005678
219,372.055,0.6594,1.25908,0.503,0.95488,0.98511,0.85714,0.94449,0.72437,0.92486,1,0.99033,0.65377,1.01807,1.69911,0.55521,1.2792,0.0005612,0.0005612,0.0005612
220,373.404,0.60915,1.23167,0.51374,0.92864,1,0.91562,0.97167,0.74033,0.99023,1,0.995,0.66392,0.99267,1.58899,0.51418,1.2188,0.0005546,0.0005546,0.0005546
221,374.833,0.61531,1.16502,0.48423,0.92989,1,0.9173,0.97167,0.73611,0.99028,1,0.995,0.68281,0.99542,1.55847,0.50291,1.22437,0.000548,0.000548,0.000548
222,376.241,0.72842,1.38269,0.59199,0.97129,0.9903,1,0.995,0.72553,0.9903,1,0.995,0.6933,1.0073,1.56792,0.49273,1.23862,0.0005414,0.0005414,0.0005414
223,377.57,0.61056,1.16874,0.49064,0.94011,0.99025,1,0.995,0.72168,0.99025,1,0.995,0.68865,1.01679,1.59604,0.48959,1.22888,0.0005348,0.0005348,0.0005348
224,378.936,0.65198,1.2641,0.53748,0.9554,0.99121,1,0.995,0.7227,0.99121,1,0.995,0.68834,0.99393,1.64715,0.45701,1.22543,0.0005282,0.0005282,0.0005282
225,380.274,0.67231,1.42049,0.56043,0.97899,0.99148,1,0.995,0.72004,0.99148,1,0.995,0.68279,0.99981,1.67516,0.46456,1.23432,0.0005216,0.0005216,0.0005216
226,381.623,0.623,1.28968,0.58488,0.95068,1,0.99733,0.995,0.74206,1,0.99733,0.995,0.6806,0.99405,1.66846,0.47411,1.23823,0.000515,0.000515,0.000515
227,383.011,0.60134,1.29374,0.55491,0.93123,0.9965,0.92857,0.98625,0.73523,0.9965,0.92857,0.98625,0.68427,0.98412,1.68191,0.49644,1.23616,0.0005084,0.0005084,0.0005084
228,384.396,0.65672,1.20994,0.54369,0.96227,0.99749,0.92857,0.97167,0.72442,0.99749,0.92857,0.97167,0.65185,0.96401,1.91871,0.5333,1.22599,0.0005018,0.0005018,0.0005018
229,385.823,0.63633,1.20819,0.55984,0.94667,0.99749,0.92857,0.96955,0.73536,0.99749,0.92857,0.96955,0.63475,0.93057,2.0447,0.54915,1.2233,0.0004952,0.0004952,0.0004952
230,387.258,0.60745,1.21618,0.5321,0.93911,0.97988,0.85714,0.95642,0.72574,0.99819,0.92857,0.96955,0.63641,0.90702,2.11496,0.55253,1.21124,0.0004886,0.0004886,0.0004886
231,388.618,0.63154,1.1482,0.51785,0.96583,0.97862,0.85714,0.95307,0.71131,0.99825,0.92857,0.96955,0.63883,0.91418,2.09969,0.56598,1.21602,0.000482,0.000482,0.000482
232,390.127,0.62646,1.18845,0.51827,0.95307,1,0.92185,0.974,0.73299,1,0.92185,0.974,0.6669,0.91116,1.85228,0.54342,1.18962,0.0004754,0.0004754,0.0004754
233,391.572,0.64981,1.21742,0.52459,0.95636,1,0.92034,0.97658,0.71728,1,0.92034,0.97658,0.66333,0.90823,1.73473,0.52838,1.16435,0.0004688,0.0004688,0.0004688
234,392.999,0.6391,1.15597,0.52272,0.94012,1,0.91838,0.97658,0.73116,1,0.91838,0.97658,0.67485,0.91635,1.68885,0.51098,1.15127,0.0004622,0.0004622,0.0004622
235,394.363,0.62461,1.22528,0.51531,0.93566,1,0.91673,0.97944,0.73004,1,0.91673,0.97944,0.67693,0.9204,1.71238,0.49796,1.14354,0.0004556,0.0004556,0.0004556
236,395.726,0.60234,1.14477,0.49495,0.91959,1,0.92269,0.97944,0.72045,1,0.92269,0.97944,0.68358,0.91914,1.78384,0.47003,1.14479,0.000449,0.000449,0.000449
237,397.106,0.61995,1.21633,0.5242,0.94148,1,0.92595,0.98625,0.7391,1,0.92595,0.98625,0.65911,0.92256,1.81646,0.46072,1.15963,0.0004424,0.0004424,0.0004424
238,398.485,0.6049,1.20353,0.51042,0.93865,1,0.92825,0.98625,0.72781,1,0.92825,0.98625,0.66536,0.93009,1.79784,0.44185,1.16825,0.0004358,0.0004358,0.0004358
239,399.903,0.60331,1.13493,0.52874,0.92223,0.99718,0.92857,0.99033,0.73787,0.99718,0.92857,0.99033,0.67435,0.92917,1.76026,0.42892,1.17118,0.0004292,0.0004292,0.0004292
240,401.495,0.6165,1.12914,0.511,0.9317,0.99558,0.92857,0.99033,0.74972,0.99558,0.92857,0.99033,0.69696,0.933,1.66004,0.47585,1.17754,0.0004226,0.0004226,0.0004226
241,402.966,0.61772,1.16884,0.48445,0.9469,0.99542,0.92857,0.98625,0.74571,0.99542,0.92857,0.98625,0.69528,0.93417,1.65284,0.49712,1.18038,0.000416,0.000416,0.000416
242,404.314,0.64435,1.17415,0.51571,0.95493,0.99552,0.92857,0.98625,0.73479,0.99552,0.92857,0.98625,0.71082,0.95007,1.64196,0.52127,1.18659,0.0004094,0.0004094,0.0004094
243,405.685,0.62345,1.19598,0.50527,0.94244,0.99574,0.92857,0.97944,0.73004,0.99574,0.92857,0.97944,0.69883,0.96025,1.61983,0.55006,1.20017,0.0004028,0.0004028,0.0004028
244,407.091,0.5973,1.13071,0.49477,0.93908,1,0.92813,0.97658,0.71741,1,0.92813,0.97658,0.69704,0.97065,1.57685,0.60091,1.20102,0.0003962,0.0003962,0.0003962
245,408.491,0.63373,1.14463,0.49074,0.92433,1,0.92575,0.974,0.72273,1,0.92575,0.974,0.6853,0.95152,1.53921,0.57286,1.18803,0.0003896,0.0003896,0.0003896
246,409.93,0.63208,1.19264,0.54793,0.96829,1,0.92464,0.974,0.74566,1,0.92464,0.974,0.69516,0.92575,1.4952,0.53124,1.17474,0.000383,0.000383,0.000383
247,411.285,0.59159,1.18947,0.50928,0.94218,1,0.92447,0.97658,0.74089,1,0.92447,0.97658,0.7066,0.91442,1.4789,0.52635,1.17814,0.0003764,0.0003764,0.0003764
248,412.757,0.63688,1.15618,0.51757,0.92864,1,0.98261,0.995,0.74315,1,0.98261,0.995,0.71048,0.92593,1.584,0.48391,1.1895,0.0003698,0.0003698,0.0003698
249,414.107,0.67249,1.2233,0.54236,0.95553,0.99344,1,0.995,0.74466,0.99344,1,0.995,0.70194,0.92106,1.65356,0.47473,1.18665,0.0003632,0.0003632,0.0003632
250,415.429,0.6719,1.31421,0.56185,0.98125,0.99858,1,0.995,0.75212,0.99858,1,0.995,0.68692,0.92478,1.70753,0.47859,1.19112,0.0003566,0.0003566,0.0003566
251,416.747,0.56782,1.12352,0.49863,0.92623,0.99532,1,0.995,0.7486,0.99532,1,0.995,0.69536,0.92783,1.72062,0.49759,1.1922,0.00035,0.00035,0.00035
252,418.198,0.60531,1.23897,0.49599,0.92957,0.9961,1,0.995,0.72007,0.9961,1,0.995,0.69672,0.94708,1.66212,0.50709,1.17779,0.0003434,0.0003434,0.0003434
253,419.659,0.61814,1.15823,0.4992,0.94106,0.9975,1,0.995,0.72699,0.9975,1,0.995,0.69047,0.9514,1.6432,0.50288,1.16212,0.0003368,0.0003368,0.0003368
254,421.136,0.61139,1.2078,0.51946,0.94684,0.99629,1,0.995,0.73519,0.99629,1,0.995,0.67954,0.95153,1.64335,0.50292,1.15337,0.0003302,0.0003302,0.0003302
255,422.611,0.59401,1.12555,0.49158,0.92849,0.99439,1,0.995,0.72384,0.99439,1,0.995,0.69146,0.94601,1.64346,0.47549,1.14421,0.0003236,0.0003236,0.0003236
256,424.126,0.61039,1.18079,0.51601,0.93618,0.99237,1,0.995,0.775,0.99237,1,0.995,0.72317,0.90777,1.70326,0.45579,1.13213,0.000317,0.000317,0.000317
257,425.638,0.63895,1.24763,0.51728,0.94195,0.9942,1,0.995,0.7596,0.9942,1,0.995,0.72101,0.91821,1.73119,0.47189,1.14649,0.0003104,0.0003104,0.0003104
258,427.151,0.58672,1.15464,0.47766,0.94336,0.99738,1,0.995,0.77398,0.99738,1,0.995,0.70322,0.92731,1.73387,0.48161,1.16459,0.0003038,0.0003038,0.0003038
259,428.666,0.64495,1.1493,0.51774,0.94833,1,0.99625,0.995,0.7727,1,0.99625,0.995,0.69615,0.90359,1.69818,0.49209,1.15735,0.0002972,0.0002972,0.0002972
260,430.139,0.60053,1.1473,0.49646,0.93659,1,0.99368,0.995,0.75531,1,0.99368,0.995,0.7066,0.89162,1.59843,0.5022,1.1486,0.0002906,0.0002906,0.0002906
261,431.565,0.62481,1.12847,0.49882,0.95205,1,0.99338,0.995,0.74265,1,0.99338,0.995,0.70871,0.90707,1.57564,0.51781,1.15228,0.000284,0.000284,0.000284
262,433.163,0.55925,1.10388,0.45721,0.92356,1,0.99353,0.995,0.74181,1,0.99353,0.995,0.72849,0.91751,1.5583,0.52495,1.16021,0.0002774,0.0002774,0.0002774
263,434.596,0.61929,1.1985,0.5579,0.96726,1,0.99414,0.995,0.74298,1,0.99414,0.995,0.73176,0.92952,1.55053,0.5255,1.17079,0.0002708,0.0002708,0.0002708
264,436.189,0.58947,1.07624,0.47619,0.92188,1,0.99507,0.995,0.74428,1,0.99507,0.995,0.71119,0.93344,1.56237,0.53051,1.19505,0.0002642,0.0002642,0.0002642
265,437.787,0.56913,1.19011,0.4979,0.92491,1,0.99433,0.995,0.74156,1,0.99433,0.995,0.70671,0.94941,1.5813,0.54709,1.21659,0.0002576,0.0002576,0.0002576
